raw_id;sample_code;sample_date;parcel_name;parameter_name;method;parameter_value;interpretation;parameter_unit;recommendations;loaded_at;source_file
99;2511791;29/10/2025;Faldo - 2 Green;Potássio (K₂O);POS.011 (Extração em Mehlich 3);27.3;Baixo;mg/kg K₂O;0,8 kg/100m² K₂O;;raw_soil_fq.csv
100;2511791;29/10/2025;Faldo - 2 Green;Razão C:N;MI;11.8;Normal - Será esperada uma libertação média de azoto pela matéria orgânica do solo;     ;;;raw_soil_fq.csv
101;2511791;29/10/2025;Faldo - 2 Green;Razão Ca:K;ISO 23470;43;Desfavorável para a nutrição da planta em K; ;;;raw_soil_fq.csv
102;2511791;29/10/2025;Faldo - 2 Green;Razão Ca:Mg;ISO 23470;2.8;Adequada; ;;;raw_soil_fq.csv
103;2511791;29/10/2025;Faldo - 2 Green;Razão Mg:K;ISO 23470;15.4;Muito desfavorável para a nutrição da planta em K; ;;;raw_soil_fq.csv
104;2511791;29/10/2025;Faldo - 2 Green;Sódio;POS.011 (Extração em Mehlich 3);31.7;-;mg/kg Na;;;raw_soil_fq.csv
105;2511791;29/10/2025;Faldo - 2 Green;Sódio (%);ISO 23470;3.8;-;% Na;;;raw_soil_fq.csv
106;2511791;29/10/2025;Faldo - 2 Green;Temperatura de medição do pH;MI;23.2;-;°C;;;raw_soil_fq.csv
107;2511791;29/10/2025;Faldo - 2 Green;Textura do Campo;POS.027 (Feel method);7;Franco-Arenosa; ;;;raw_soil_fq.csv
108;2511791;29/10/2025;Faldo - 2 Green;Zinco;POS.011 (Extração em Mehlich 3);5.1;Alto;mg/kg Zn;-;;raw_soil_fq.csv
109;2511792;29/10/2025;Faldo - 2 Adjacente;Acidez de troca;MI;0;-;%;;;raw_soil_fq.csv
110;2511792;29/10/2025;Faldo - 2 Adjacente;Azoto total ;POS.008 (Método de Dumas);0.06;Baixo;% N;1,2-1,6 kg/100m² N;;raw_soil_fq.csv
111;2511792;29/10/2025;Faldo - 2 Adjacente;Boro;POS.011 (Extração em Mehlich 3);0.35;Baixo;mg/kg B;1-3 kg/ha B;;raw_soil_fq.csv
112;2511792;29/10/2025;Faldo - 2 Adjacente;Calcário ativo;POS.016 (Método de Drouineau);0;Baixo;% CaCO₃ (m/m);;;raw_soil_fq.csv
113;2511792;29/10/2025;Faldo - 2 Adjacente;Calcário total;EN 15936;0.83;Não calcário;% CaCO₃ (m/m);;;raw_soil_fq.csv
114;2511792;29/10/2025;Faldo - 2 Adjacente;Cálcio (%);ISO 23470;69.5;Médio;% Ca;;;raw_soil_fq.csv
115;2511792;29/10/2025;Faldo - 2 Adjacente;Cálcio (CaO);POS.011 (Extração em Mehlich 3);902;Alto;mg/kg CaO;;;raw_soil_fq.csv
116;2511792;29/10/2025;Faldo - 2 Adjacente;Capacidade de troca catiónica efetiva ;ISO 23470;3.23;Muito baixo;cmol⁺/kg;;;raw_soil_fq.csv
117;2511792;29/10/2025;Faldo - 2 Adjacente;Cobalto;POS.011 (Extração em Mehlich 3);0.47;Baixo;mg/kg Co;Aplicar por via foliar;;raw_soil_fq.csv
118;2511792;29/10/2025;Faldo - 2 Adjacente;Cobre;POS.011 (Extração em Mehlich 3);0.04;Baixo;mg/kg Cu;1 kg/ha Cu;;raw_soil_fq.csv
119;2511792;29/10/2025;Faldo - 2 Adjacente;Condutividade Elétrica (a 25ºC);ISO 11265;0.11;Solo sem efeitos salinos;mS/cm;-;;raw_soil_fq.csv
120;2511792;29/10/2025;Faldo - 2 Adjacente;Enxofre;POS.011 (Extração em Mehlich 3);24.3;Alto;mg/kg S;5-10 kg/ha S;;raw_soil_fq.csv
121;2511792;29/10/2025;Faldo - 2 Adjacente;Ferro;POS.011 (Extração em Mehlich 3);20.8;Baixo;mg/kg Fe;2-4 kg/ha Fe;;raw_soil_fq.csv
122;2511792;29/10/2025;Faldo - 2 Adjacente;Fósforo (P₂O₅);POS.011 (Extração em Mehlich 3);103;Alto;mg/kg P₂O₅;0,5 kg/100m² P₂O₅;;raw_soil_fq.csv
123;2511792;29/10/2025;Faldo - 2 Adjacente;Grau de Saturação em Bases (GSB);ISO 23470;100;Muito alto;%;;;raw_soil_fq.csv
124;2511792;29/10/2025;Faldo - 2 Adjacente;Magnésio (%);ISO 23470;24.3;Alto;% Mg;;;raw_soil_fq.csv
125;2511792;29/10/2025;Faldo - 2 Adjacente;Magnésio (MgO);POS.011 (Extração em Mehlich 3);199;Alto;mg/kg MgO;0,25 kg/100m² MgO;;raw_soil_fq.csv
126;2511792;29/10/2025;Faldo - 2 Adjacente;Manganês;POS.011 (Extração em Mehlich 3);0;Muito baixo;mg/kg Mn;;;raw_soil_fq.csv
127;2511792;29/10/2025;Faldo - 2 Adjacente;Manganês (MnAI);POS.011 (Extração em Mehlich 3);0;Baixo;MnAI;2-5 kg/ha Mn;;raw_soil_fq.csv
128;2511792;29/10/2025;Faldo - 2 Adjacente;Matéria Orgânica;EN 15936;1.7;Média;%;Aplicar 25 t/ha de estrume de bovino bem curtido;;raw_soil_fq.csv
129;2511792;29/10/2025;Faldo - 2 Adjacente;Molibdénio;POS.011 (Extração em Mehlich 3);0;Baixo;mg/kg Mo;Aplicar por via foliar;;raw_soil_fq.csv
